Destination Port,Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Fwd Header Length,Bwd Header Length,Bwd IAT Min,Bwd Packets/s,Min Packet Length,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_win_bytes_forward,Init_win_bytes_backward
3128,18.860236,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,40,0,588,2607,0,0,0,0
60161,6.607063,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,37,67,0,0,0,0
60164,0.197247,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,2,7,0,0,0,0
60167,0.298838,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,6,14,0,0,0,0
60170,1.988219,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,195,421,0,0,0,0
7680,15.46505,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,0,0,0,0,0,0
60173,0.329031,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,5,17,0,0,0,0
60176,0.2949,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,3,9,0,0,0,0
60179,12.483725,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,438,1679,0,0,0,0
60182,2.852804,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,38,85,0,0,0,0
60185,0.843216,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,5,20,0,0,0,0
60188,0.939989,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60191,0.939046,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60195,0.920816,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60197,11.155508,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,46,87,0,0,0,0
60200,0.393301,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,10,30,0,0,0,0
60203,0.857349,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60206,0.897396,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60209,0.879737,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60212,9.446782,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,380,3396,0,0,0,0
60215,0.316546,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,7,19,0,0,0,0
60218,1.792951,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,22,41,0,0,0,0
60221,1.139004,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,8,17,0,0,0,0
56745,0.0,0,0,0,0,inf,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,1,0,0,1,0,0,0,0
60230,1.286969,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,4,15,0,0,0,0
60231,6.528144,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,29,66,0,0,0,0
60233,1.186953,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60235,0.089986,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,1,3,0,0,0,0
60239,1.629088,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60245,0.275619,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,3,9,0,0,0,0
60251,3.216532,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,6,22,0,0,0,0
60253,3.199899,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,7,20,0,0,0,0
60255,3.183521,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,222,428,0,0,0,0
60257,0.206446,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,2,11,0,0,0,0
60259,0.153584,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,1,6,0,0,0,0
60261,0.153584,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,1,6,0,0,0,0
60263,0.155091,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,1,6,0,0,0,0
60265,3.063054,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,4,13,0,0,0,0
60267,3.065175,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,4,14,0,0,0,0
60269,3.062608,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,12,0,0,0,0
60272,2.799756,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,8,22,0,0,0,0
60275,0.884328,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60278,0.332729,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,12,31,0,0,0,0
60281,1.889671,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,8,23,0,0,0,0
60284,0.917389,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,4,15,0,0,0,0
60287,0.320602,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,6,17,0,0,0,0
60290,0.95719,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,3,14,0,0,0,0
60293,0.367273,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,8,22,0,0,0,0
60296,0.85772,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,10,24,0,0,0,0
60299,0.485848,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,10,25,0,0,0,0
60302,0.139809,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,1,6,0,0,0,0
60305,0.792122,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,6,18,0,0,0,0
60308,0.737232,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,6,20,0,0,0,0
60311,0.560138,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,6,19,0,0,0,0
60314,0.68468,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,65,127,0,0,0,0
60317,0.102127,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,1,4,0,0,0,0
60320,1.239865,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,9,25,0,0,0,0
60323,0.374847,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,6,20,0,0,0,0
60326,2.129937,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,72,140,0,0,0,0
60329,2.124383,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,115,233,0,0,0,0
60332,0.417634,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,7,22,0,0,0,0
60337,0.194718,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,1,6,0,0,0,0
60338,0.355447,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,11,25,0,0,0,0
60341,1.424712,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,165,1493,0,0,0,0
60344,0.542008,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,81,201,0,0,0,0
60347,0.247987,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,5,17,0,0,0,0
